time_s,omega_rad_s,theta_rad,theta_deg
0.0,2.111301,1.5707963267948966,90.0
0.01,2.107771,1.5497009667948964,88.7913249046909
0.02,2.104241,1.5286409067948965,87.58467235039862
0.03,2.100711,1.5076161467948965,86.38004233712314
0.04,2.097181,1.4866266867948965,85.17743486486448
0.05,2.093651,1.4656725267948965,83.97684993362263
0.06,2.090121,1.4447536667948966,82.7782875433976
0.07,2.0865910000000003,1.4238701067948965,81.58174769418936
0.08,2.0830610000000003,1.4030218467948967,80.38723038599797
0.09,2.0795310000000002,1.3822088867948965,79.19473561882336
0.1,2.076001,1.3614312267948965,78.00426339266556
0.11,2.072471,1.3406888667948966,76.8158137075246
0.12,2.068941,1.3199818067948965,75.62938656340042
0.13,2.065411,1.2993100467948966,74.44498196029306
0.14,2.061881,1.2786735867948964,73.26259989820251
0.15,2.058351,1.2580724267948966,72.0822403771288
0.16,2.054821,1.2375065667948966,70.90390339707187
0.17,2.051291,1.2169760067948965,69.72758895803176
0.18,2.047761,1.1964807467948966,68.55329706000848
0.19,2.044231,1.1760207867948964,67.38102770300198
0.2,2.0407010000000003,1.1555961267948966,66.21078088701232
0.21,2.0371710000000003,1.1352067667948964,65.04255661203945
0.22,2.0336410000000003,1.1148527067948966,63.87635487808341
0.23,2.030111,1.0945339467948965,62.71217568514417
0.24,2.026581,1.0742504867948963,61.55001903322173
0.25,2.023051,1.0540023267948966,60.389884922316135
0.26,2.019521,1.0337894667948966,59.23177335242733
0.27,2.015991,1.0136119067948965,58.07568432355534
0.28,2.012461,0.9934696467948965,56.92161783570016
0.29,2.008931,0.9733626867948966,55.7695738888618
0.3,2.005401,0.9532910267948966,54.61955248304025
0.31,2.001871,0.9332546667948965,53.471553618235504
0.32,1.9983410000000001,0.9132536067948965,52.32557729444757
0.33,1.9948110000000001,0.8932878467948965,51.18162351167645
0.34,1.991281,0.8733573867948964,50.039692269922135
0.35000000000000003,1.987751,0.8534622267948965,48.89978356918465
0.36,1.984221,0.8336023667948965,47.76189740946397
0.37,1.9806910000000002,0.8137778067948965,46.6260337907601
0.38,1.9771610000000002,0.7939885467948965,45.49219271307304
0.39,1.9736310000000001,0.7742345867948965,44.36037417640279
0.4,1.970101,0.7545159267948965,43.230578180749355
0.41000000000000003,1.966571,0.7348325667948964,42.10280472611272
0.42,1.963041,0.7151845067948965,40.97705381249292
0.43,1.959511,0.6955717467948965,39.853325439889915
0.44,1.9559810000000002,0.6759942867948966,38.73161960830373
0.45,1.9524510000000002,0.6564521267948964,37.61193631773435
0.46,1.9489210000000001,0.6369452667948965,36.494275568181784
0.47000000000000003,1.945391,0.6174737067948964,35.37863735964603
0.48,1.941861,0.5980374467948965,34.265021692127085
0.49,1.938331,0.5786364867948967,33.15342856562497
0.5,1.9348010000000002,0.5592708267948965,32.04385798013964
0.51,1.9312710000000002,0.5399404667948964,30.93630993567113
0.52,1.9277410000000001,0.5206454067948966,29.830784432219446
0.53,1.9242110000000001,0.5013856467948964,28.727281469784554
0.54,1.920681,0.48216118679489633,27.62580104836648
0.55,1.917151,0.46297202679489646,26.52634316796523
0.56,1.913621,0.4438181667948964,25.428907828580776
0.5700000000000001,1.910091,0.42469960679489627,24.333495030213136
0.58,1.9065610000000002,0.4056163467948966,23.24010477286233
0.59,1.9030310000000001,0.3865683867948965,22.148737056528315
0.6,1.899501,0.3675557267948966,21.05939188121112
0.61,1.895971,0.3485783667948965,19.972069246910728
0.62,1.892441,0.3296363067948964,18.886769153627146
0.63,1.8889110000000002,0.31072954679489656,17.80349160136039
0.64,1.8853810000000002,0.29185808679489644,16.72223659011043
0.65,1.8818510000000002,0.27302192679489634,15.643004119877283
0.66,1.8783210000000001,0.2542210667948965,14.565794190660963
0.67,1.874791,0.2354555067948964,13.490606802461441
0.68,1.871261,0.2167252467948963,12.41744195527873
0.6900000000000001,1.867731,0.19803028679489643,11.346299649112844
0.7000000000000001,1.864201,0.17937062679489632,10.277179883963756
0.71,1.8606710000000002,0.16074626679489665,9.210082659831505
0.72,1.8571410000000002,0.14215720679489655,8.145007976716041
0.73,1.8536110000000001,0.12360344679489645,7.081955834617388
0.74,1.850081,0.10508498679489657,6.020926233535562
0.75,1.846551,0.08660182679489647,4.961919173470533
0.76,1.8430210000000002,0.06815396679489638,3.904934654422317
0.77,1.8394910000000002,0.0497414067948965,2.8499726763909248
0.78,1.8359610000000002,0.03136414679489642,1.797033239376333
0.79,1.8324310000000001,0.01302218679489632,0.7461163433785517
0.8,1.828901,0.0,0.0
