time_s,omega_rad_s,theta_rad,theta_deg
0.0,2.111300999999912,1.7453292519943295,100.0
0.01,2.1077697764694676,1.724233895073759,98.79132508112922
0.02,2.104238554987205,1.7031738617984473,97.58467405804878
0.03,2.1007073355531247,1.6821491288601464,96.38004559529446
0.04,2.097176118166317,1.661159707913015,95.17744036060033
0.05,2.093644902827691,1.6402055989570954,93.97685835396886
0.06,2.090113689538157,1.6192868136463403,92.77830024312235
0.07,2.0865824782968048,1.5984033286726458,91.58176469260476
0.08,2.083051269102725,1.5775551673441441,90.38725303787376
0.09,2.0795200619568277,1.556742306352703,89.19476394347173
0.1,2.0759888568591123,1.5359647573525308,88.0042980771356
0.11,2.0724576538104884,1.5152225319974377,86.81585610657952
0.12,2.0689264528082276,1.4945156069795758,85.62943669636216
0.13,2.0653952538550584,1.4738439939526415,84.44504051419119
0.14,2.0618640569500712,1.4532077045711276,83.2626682278198
0.15,2.0583328620923567,1.43260671552639,82.0823185017611
0.16,2.054801669284643,1.4120410501271863,80.90399267150849
0.17,2.0512704785232927,1.3915106850649863,79.72768940158159
0.18,2.0477392898101243,1.3710156319937141,78.55340935970106
0.19,2.0442081031460475,1.3505559025677485,77.38115321361362
0.2,2.0406769185283338,1.3301314734792413,76.21091962787791
0.21,2.0371457359597116,1.3097423563810935,75.04270927015602
0.22,2.033614555440181,1.2893885629291617,73.87652280827932
0.23,2.0300833769670135,1.2690700698135515,72.71235890668923
0.24,2.0265522005429375,1.2487868886892102,71.55021823316507
0.25,2.0230210261670436,1.2285390312104028,70.390101455447
0.26,2.0194898538384223,1.2083264740683717,69.2320072380416
0.27,2.0159586835588925,1.1881492289176094,68.07593624870212
0.28,2.0124275153266353,1.168007295758116,66.92188848742855
0.29,2.00889634914256,1.1479006745892093,65.7698639541818
0.3,2.005365185006667,1.1278293654117988,64.61986264901398
0.31,2.001834022918956,1.1077933798799222,63.47188523965227
0.32,1.9983028628794273,1.087792694684822,62.32593039060324
0.33,1.9947717048880804,1.0678273214807632,61.181998769607084
0.34,1.9912405489440062,1.0478972602682006,60.04009037668986
0.35000000000000003,1.9877093950490234,1.0280025110469069,58.90020521183855
0.36,1.9841782432013133,1.0081430621617073,57.762342607260834
0.37,1.9806470934017852,0.9883189369224965,56.626503898515274
0.38,1.9771159456504392,0.9685301236740997,55.492688417809575
0.39,1.9735847999472753,0.9487766224174266,54.36089616519583
0.4,1.9700536562922935,0.9290584331515674,53.23112714062194
0.41000000000000003,1.9665225146845842,0.909375544222712,52.10338067637375
0.42,1.9629913751259664,0.8897279789384811,50.97765810787956
0.43,1.9594602376155308,0.8701157256459737,49.85395876747734
0.44,1.9559291021523677,0.8505387726909248,48.73228198742687
0.45,1.9523979687373867,0.8309971433805003,47.6126291031304
0.46,1.9488668373705877,0.8114908144075343,46.49499877918569
0.47000000000000003,1.9453357080519709,0.7920197974253824,45.379391683280836
0.48,1.941804580781536,0.7725841040887644,44.26580848318209
0.49,1.9382734555583738,0.7531837110886954,43.15424784338299
0.5,1.9347423323833937,0.7338186300798952,42.0447104316498
0.51,1.931211211257505,0.7144888610628186,40.93719624800857
0.52,1.927680092178889,0.6951944040361013,39.83170529238113
0.53,1.924148975148455,0.6759352590015624,38.72823756487171
0.54,1.9206178601662032,0.6567114259573827,37.62679306537609
0.55,1.9170867472321333,0.6375229049044719,36.52737179394637
0.56,1.913555636345336,0.61836969584283,35.42997375058256
0.5700000000000001,1.910024527506721,0.599251787117737,34.3345982675184
0.58,1.9064934207171973,0.5801692020381779,33.24124668026035
0.59,1.9029623159749463,0.5611219289498877,32.149918321068206
0.6,1.8994312132808773,0.5421099561981464,31.060612522175713
0.61,1.8959001126340809,0.5231332954381287,29.973329951375177
0.62,1.8923690140372855,0.5041919583236449,28.888071276380753
0.63,1.8888379174868533,0.48528592154571015,27.804835161685975
0.64,1.885306822984603,0.4664151967590442,26.723622275057107
0.65,1.881775730530535,0.44757978396364706,25.644432616494143
0.66,1.8782446401246489,0.428779683159064,24.56726618597103
0.67,1.8747135517669449,0.41001489434620453,23.49212298353988
0.68,1.8711824654565135,0.3912854058689845,22.419002341356265
0.6900000000000001,1.8676513811951736,0.37259124103820795,21.347905595030873
0.7000000000000001,1.8641202989820158,0.3539323881987002,20.278832076771387
0.71,1.8605892188161306,0.3353088356961962,19.211781118837603
0.72,1.857058140697518,0.316720595183142,18.146753388865505
0.73,1.8535270646279969,0.2981676666631756,17.083748887063535
0.74,1.8499959906066579,0.2796500617878337,16.02276828101557
0.75,1.846464918633501,0.2611677572494955,14.9638102352933
0.76,1.842933848706707,0.242720753048161,13.906874749896737
0.77,1.8394027808299143,0.22430907249236043,12.851963160306282
0.78,1.835871715000394,0.2059327039287382,11.799074798833844
0.79,1.8323406512181464,0.18759163570030069,10.748208997582891
0.8,1.8288095894849903,0.1692858911183066,9.699367092190156
0.81,1.8252785297991068,0.15101544687240676,8.652547747071015
0.8200000000000001,1.8217474721614053,0.13278031461868522,7.60775163006989
0.8300000000000001,1.818216416571886,0.11458049435441353,6.564978741030451
0.84,1.8146853630305486,0.09641598608141067,5.524229080056919
0.85,1.8111543115373934,0.07828678980058612,4.485502647201405
0.86,1.8076232620915107,0.06019290551012091,3.4487994423596855
0.87,1.8040922146947196,0.04213433321365301,2.414119465740204
0.88,1.800561169345201,0.024111061251460342,1.3814620492900944
0.89,1.797030126042955,0.006123101280536503,0.35082786090589146
0.9,1.7934990847898007,0.0,0.0
