time_s,omega_rad_s,theta_rad,theta_deg
0.0,2.111301,1.7453292519943295,100.0
0.01,2.1023791022470837,1.7242609144528565,98.79287317751657
0.02,2.093532291183966,1.70328141966221,97.59083666969582
0.03,2.0847596228883205,1.6823900214883696,96.39384772620745
0.04,2.0760601691933247,1.6615859831574888,95.2018641330196
0.05,2.0674330173602926,1.6408685770999754,94.01484420346532
0.06,2.0588772697594444,1.62023708479782,92.83274676949516
0.07,2.0503920435585616,1.5996907966350637,91.65553117310962
0.08,2.0419764704193177,1.5792290117513532,90.48315725796843
0.09,2.033629696201049,1.5588510378984863,89.31558536117122
0.1,2.0253508806717653,1.538556191299883,88.1527763052058
0.11,2.0171391972261907,1.5183437965129223,86.99469139006072
0.12,2.008993832610634,1.4982131862940462,85.8412923854962
0.13,2.0009139866544996,1.4781637014666018,84.69254152347206
0.14,1.9928988720082514,1.4581946907913195,83.54840149072669
0.15,1.984947713887647,1.4383055108393865,82.40883542150473
0.16,1.9770597498240758,1.4184955258680514,81.27380689042964
0.17,1.9692342294208185,1.3987641076986854,80.14327990551722
0.18,1.9614704141150807,1.3791106355972658,79.01721890132777
0.19,1.953767576945626,1.3595344961571936,77.89558873225202
0.2,1.9461250023258685,1.3400350831844259,76.7783546659298
0.21,1.9385419858222677,1.3206117975848377,75.66548237679616
0.22,1.9310178339378827,1.3012640472537749,74.55693793975342
0.23,1.9235518639009515,1.2819912469677572,73.45268782396609
0.24,1.9161434034583515,1.2627928182782546,72.3526988867747
0.25,1.9087917906738183,1.2436681894075203,71.25693836772759
0.26,1.9014963737307902,1.2246167951464095,70.16537388272619
0.27,1.894256510739754,1.2056380767541466,69.0779734182822
0.28,1.8870715695499818,1.1867314818600052,67.99470532588431
0.29,1.8799409275655286,1.1678964643668377,66.91553831647074
0.3,1.8728639715653919,1.149132484356435,65.84044145500683
0.31,1.865840097527715,1.130439007996658,64.76938415516402
0.32,1.8588687104579307,1.1118155074503056,63.70233617409844
0.33,1.8519492242207467,1.0932614607856905,62.63926760732722
0.34,1.8450810613758653,1.0747763518888647,61.58014888369937
0.35000000000000003,1.8382636530173497,1.056359670377483,60.524950760460584
0.36,1.831496438616533,1.0380109115162393,59.47364431840805
0.37,1.8247788658683906,1.019729576133873,58.42620095713528
0.38,1.8181103905412752,1.001515170541682,57.38259239036326
0.39,1.811490476329937,0.9833672064535263,56.34279064135694
0.4,1.8049185947117463,0.9652852009072888,55.30676803842539
0.41000000000000003,1.7983942248060272,0.9472686761877503,54.274497210502716
0.42,1.7919168532364396,0.9293171597508667,53.24595108280956
0.43,1.7854859739963167,0.9114301841493943,52.221102872591715
0.44,1.7791010883168985,0.8936072869598605,51.199926084935846
0.45,1.7727617045383786,0.8758480107108294,50.18239450865945
0.46,1.7664673379836968,0.8581519028124424,49.168482212273744
0.47000000000000003,1.7602175108350164,0.8405185154872175,48.15816354001888
0.48,1.7540117520128087,0.8229474057020562,47.15141310796812
0.49,1.7478495970574897,0.8054381351014612,46.14820580020154
0.5,1.7417305880135407,0.787990269941912,45.14851676504601
0.51,1.735654273316058,0.7706033810273991,44.15232141138163
0.52,1.7296202076796654,0.7532770436460728,43.15959540501188
0.53,1.7236279519897366,0.7360108375079915,42.17031466509694
0.54,1.7176770731958733,0.7188043466839527,41.18445536064894
0.55,1.7117671442075801,0.7016571595453731,40.20199390708732
0.56,1.705897743792086,0.6845688687051983,39.222906962853244
0.5700000000000001,1.700068456474261,0.6675390709598348,38.24717142608251
0.58,1.6942788724385787,0.6505673672320575,37.274764431334425
0.59,1.688528587433074,0.6336533625149037,36.305663346377145
0.6,1.68281720267525,0.6167966658165014,35.33984576902658
0.61,1.6771443247598887,0.5999968901058439,34.37728952403952
0.62,1.6715095655687213,0.5832536522594673,33.41797266005843
0.63,1.6659125421819085,0.566566573009023,32.46187344660764
0.64,1.660352876791301,0.5499352768897339,31.50897037114007
0.65,1.6548301966154222,0.5333593921896973,30.5592421361325
0.66,1.649344133816151,0.5168385509000437,29.61266765622988
0.67,1.643894325417048,0.5003723886659053,28.66922605543604
0.68,1.6384804132233022,0.4839605447382065,27.728896664351492
0.6900000000000001,1.6331020437432513,0.467602661926241,26.79165901745628
0.7000000000000001,1.6277588681114408,0.45129838655101984,25.85749285043703
0.71,1.6224505420131943,0.43504736839939784,24.926378097558597
0.72,1.617176725610648,0.4188492606789267,23.998294889077325
0.73,1.6119370834702291,0.40270371997345933,23.07322354869737
0.74,1.6067312844915353,0.38661040619945686,22.151144591067276
0.75,1.60155900183759,0.37056898256301163,21.23203871931756
0.76,1.5964199128664405,0.3545791155175544,20.315886822637545
0.77,1.5913136990640664,0.33864047472223824,19.40266997389089
0.78,1.586240045978575,0.3227527330009936,18.492369427269658
0.79,1.58119864315565,0.3069155663022287,17.584966615985294
0.8,1.5761891840752251,0.2911286536591693,16.68044314999627
0.81,1.5712113660893616,0.2753916771508327,15.77878081377206
0.8200000000000001,1.5662648903612963,0.25970432186360637,14.879961564091756
0.8300000000000001,1.5613494618056392,0.24406627585344243,13.983967527877965
0.84,1.5564647890296905,0.22847723010863197,13.09078100006395
0.85,1.551610584275861,0.212936878513172,12.2003844414947
0.86,1.5467865633651616,0.19744491781069606,11.312760476860303
0.87,1.5419924456417458,0.1820010475689633,10.427891892661329
0.88,1.537227953918481,0.16660497014490683,9.545761635206246
0.89,1.5324928144235237,0.15125639065020624,8.666352808638864
0.9,1.5277867567478818,0.1359550169174064,7.789648672997095
0.91,1.523109513793937,0.1207005594665389,6.915632642300494
0.92,1.518460821724913,0.10549273147226734,6.04428828266783
0.93,1.5138404199152633,0.09033124873152754,5.175599310462999
0.9400000000000001,1.5092480509019643,0.07521582963165407,4.309549590468816
0.9500000000000001,1.5046834603366919,0.060146195119001655,3.446123134089147
0.96,1.500146396938861,0.045122068668031146,2.585304097577673
0.97,1.4956366124495164,0.030143176250861048,1.727076780293314
0.98,1.4911538615860473,0.015209246307280377,0.871425622982098
0.99,1.4866979019977198,0.0003200097152098458,0.01833520608470759
1.0,1.4822684942220001,0.0,0.0
