"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.694926170E-1,6.261364091E-3,8.704823442E-3,-1.527161949E-4,1.072389638E-2
1.716477210E-1,3.817904973E-3,5.039634649E-3,-1.527161949E-4,6.324368586E-3
1.738028250E-1,3.817904973E-3,3.817904973E-3,1.069013379E-3,5.504142656E-3
1.759579290E-1,3.817904973E-3,1.374445739E-3,-1.527161949E-4,4.060643017E-3
1.781130330E-1,2.596175298E-3,1.527161949E-4,-1.527161949E-4,2.605143115E-3
1.802681370E-1,1.527161949E-4,1.527161949E-4,1.069013379E-3,1.090611790E-3
1.824232420E-1,-2.290742937E-3,1.527161949E-4,1.069013379E-3,2.532511608E-3
1.845783460E-1,-2.290742937E-3,1.527161949E-4,1.069013379E-3,2.532511608E-3
1.867334500E-1,-3.512472380E-3,1.527161949E-4,-1.527161949E-4,3.519105951E-3
1.888885540E-1,-2.290742937E-3,1.374445739E-3,1.069013379E-3,2.877393595E-3
1.910437100E-1,-3.512472380E-3,-2.290742937E-3,-1.527161949E-4,4.196223023E-3
1.931988150E-1,-2.290742937E-3,-1.069013379E-3,2.290742937E-3,3.411421407E-3
1.953539190E-1,1.527161949E-4,1.527161949E-4,-1.374445739E-3,1.391310735E-3
1.975089710E-1,1.374445739E-3,-2.290742937E-3,-1.527161949E-4,2.675803904E-3
1.996640750E-1,-1.069013379E-3,-1.069013379E-3,-1.527161949E-4,1.519506974E-3
2.018192310E-1,1.374445739E-3,1.374445739E-3,-1.374445739E-3,2.380609853E-3
2.039743350E-1,2.596175298E-3,5.039634649E-3,-1.527161949E-4,5.671099171E-3
2.061294400E-1,2.596175298E-3,-5.955931731E-3,-1.527161949E-4,6.498966933E-3
2.082845440E-1,1.374445739E-3,1.374445739E-3,-1.527161949E-4,1.949749834E-3
2.104396480E-1,1.527161949E-4,1.527161949E-4,-1.527161949E-4,2.645122086E-4
2.125947520E-1,1.527161949E-4,2.596175298E-3,2.290742937E-3,3.465681985E-3
2.147498560E-1,1.374445739E-3,2.596175298E-3,-1.527161949E-4,2.941521631E-3
2.169049600E-1,1.374445739E-3,2.596175298E-3,1.069013379E-3,3.126022532E-3
2.190601170E-1,1.527161949E-4,2.596175298E-3,-1.527161949E-4,2.605143115E-3
2.212151690E-1,-1.069013379E-3,-2.290742937E-3,1.069013379E-3,2.744646136E-3
2.233702730E-1,1.527161949E-4,1.374445739E-3,-1.527161949E-4,1.391310735E-3
2.255253770E-1,1.527161949E-4,1.527161949E-4,1.069013379E-3,1.090611790E-3
2.276804810E-1,-2.290742937E-3,-1.069013379E-3,-1.527161949E-4,2.532511608E-3
2.298356370E-1,-2.290742937E-3,1.527161949E-4,1.069013379E-3,2.532511608E-3
2.319907420E-1,-1.069013379E-3,-1.069013379E-3,1.069013379E-3,1.851585486E-3
2.341458460E-1,-1.069013379E-3,1.374445739E-3,-1.527161949E-4,1.747916740E-3
2.363009500E-1,-1.069013379E-3,2.596175298E-3,1.069013379E-3,3.004281176E-3
2.384560540E-1,3.817904973E-3,8.704823442E-3,-1.527161949E-4,9.506506812E-3
2.406111580E-1,2.596175298E-3,6.261364091E-3,-1.527161949E-4,6.779979992E-3
2.427662620E-1,2.596175298E-3,5.039634649E-3,-1.374445739E-3,5.833279066E-3
2.449213670E-1,1.374445739E-3,1.374445739E-3,-1.374445739E-3,2.380609853E-3
2.470764710E-1,1.527161949E-4,3.817904973E-3,-1.527161949E-4,3.824008742E-3
2.492315750E-1,1.374445739E-3,2.596175298E-3,-1.527161949E-4,2.941521631E-3
2.513867310E-1,1.374445739E-3,2.596175298E-3,-1.527161949E-4,2.941521631E-3
2.535417830E-1,1.374445739E-3,1.374445739E-3,2.290742937E-3,3.004281176E-3
2.556968870E-1,1.527161949E-4,3.817904973E-3,-1.527161949E-4,3.824008742E-3
2.578520440E-1,-2.290742937E-3,5.039634649E-3,-1.527161949E-4,5.537936695E-3
2.600070960E-1,-1.069013379E-3,1.374445739E-3,1.069013379E-3,2.043203440E-3
2.621622520E-1,-1.069013379E-3,1.527161949E-4,2.290742937E-3,2.532511608E-3
2.643173560E-1,-2.290742937E-3,2.596175298E-3,-1.527161949E-4,3.465681985E-3
2.664724600E-1,1.527161949E-4,1.374445739E-3,-1.527161949E-4,1.391310735E-3
2.686275650E-1,1.527161949E-4,5.039634649E-3,-1.527161949E-4,5.044260289E-3
2.707826690E-1,1.527161949E-4,1.527161949E-4,-1.527161949E-4,2.645122086E-4
2.729377730E-1,2.596175298E-3,3.817904973E-3,-1.527161949E-4,4.619507203E-3
2.750928770E-1,1.374445739E-3,7.483093534E-3,1.069013379E-3,7.683005891E-3
2.772479810E-1,3.817904973E-3,8.704823442E-3,-1.527161949E-4,9.506506812E-3
2.794030850E-1,1.527161949E-4,1.527161949E-4,-1.527161949E-4,2.645122086E-4
2.815581900E-1,1.527161949E-4,1.527161949E-4,-1.527161949E-4,2.645122086E-4
2.837132940E-1,1.374445739E-3,1.374445739E-3,-1.527161949E-4,1.949749834E-3
2.858683980E-1,1.527161949E-4,-1.069013379E-3,1.069013379E-3,1.519506974E-3
2.880235020E-1,1.374445739E-3,1.374445739E-3,-1.527161949E-4,1.949749834E-3
2.901786580E-1,-1.069013379E-3,1.374445739E-3,-1.527161949E-4,1.747916740E-3
2.923337100E-1,1.527161949E-4,7.483093534E-3,-1.374445739E-3,7.609803687E-3
2.944888670E-1,-2.290742937E-3,-1.069013379E-3,1.069013379E-3,2.744646136E-3
2.966439710E-1,1.527161949E-4,1.527161949E-4,-1.527161949E-4,2.645122086E-4
2.987990230E-1,-2.290742937E-3,1.374445739E-3,-1.527161949E-4,2.675803904E-3
3.009541790E-1,-2.290742937E-3,-1.069013379E-3,-1.527161949E-4,2.532511608E-3
3.031092830E-1,-1.069013379E-3,1.374445739E-3,-1.527161949E-4,1.747916740E-3
3.052643870E-1,1.527161949E-4,5.039634649E-3,-1.527161949E-4,5.044260289E-3
3.074194920E-1,1.527161949E-4,1.374445739E-3,-1.374445739E-3,1.949749834E-3
3.095745960E-1,1.527161949E-4,2.596175298E-3,-1.374445739E-3,2.941521631E-3
3.117297000E-1,1.527161949E-4,-2.290742937E-3,1.069013379E-3,2.532511608E-3
3.138848040E-1,1.374445739E-3,1.527161949E-4,-1.374445739E-3,1.949749834E-3
3.160399080E-1,1.527161949E-4,5.039634649E-3,-1.527161949E-4,5.044260289E-3
3.181950120E-1,1.374445739E-3,-3.512472380E-3,-1.527161949E-4,3.774902058E-3
3.203501170E-1,2.596175298E-3,8.704823442E-3,-1.527161949E-4,9.085009607E-3
3.225052210E-1,2.596175298E-3,5.039634649E-3,-1.527161949E-4,5.671099171E-3
3.246603250E-1,-1.069013379E-3,-2.290742937E-3,-1.527161949E-4,2.532511608E-3
3.268154810E-1,1.527161949E-4,1.374445739E-3,1.069013379E-3,1.747916740E-3
3.289705330E-1,-1.069013379E-3,-1.069013379E-3,-1.527161949E-4,1.519506974E-3
3.311256370E-1,1.527161949E-4,3.817904973E-3,-1.527161949E-4,3.824008742E-3
3.332807420E-1,1.527161949E-4,2.596175298E-3,1.069013379E-3,2.811803339E-3
3.354358980E-1,-1.069013379E-3,-1.069013379E-3,1.069013379E-3,1.851585486E-3
3.375910020E-1,-2.290742937E-3,1.527161949E-4,-1.527161949E-4,2.300901492E-3
3.397461060E-1,-1.069013379E-3,2.596175298E-3,-1.527161949E-4,2.811803339E-3
3.419012100E-1,-1.069013379E-3,1.527161949E-4,1.069013379E-3,1.519506974E-3
3.440563150E-1,-1.069013379E-3,1.374445739E-3,-1.527161949E-4,1.747916740E-3
3.462114190E-1,-1.069013379E-3,1.527161949E-4,-1.374445739E-3,1.747916740E-3
3.483665230E-1,1.527161949E-4,1.374445739E-3,-1.527161949E-4,1.391310735E-3
3.505216270E-1,2.596175298E-3,5.039634649E-3,-1.527161949E-4,5.671099171E-3
3.526767310E-1,2.596175298E-3,6.261364091E-3,-1.527161949E-4,6.779979992E-3
3.548318350E-1,1.374445739E-3,6.261364091E-3,-1.374445739E-3,6.556133194E-3
3.569869400E-1,2.596175298E-3,7.483093534E-3,-1.527161949E-4,7.922129590E-3
3.591420440E-1,2.596175298E-3,7.483093534E-3,-1.527161949E-4,7.922129590E-3
3.612971480E-1,-1.069013379E-3,1.374445739E-3,-1.527161949E-4,1.747916740E-3
3.634522520E-1,2.596175298E-3,6.261364091E-3,-1.527161949E-4,6.779979992E-3
3.656073560E-1,-1.069013379E-3,1.374445739E-3,-1.374445739E-3,2.218330855E-3
3.677625120E-1,-2.290742937E-3,-2.290742937E-3,-1.527161949E-4,3.243197288E-3
3.699176170E-1,1.527161949E-4,1.374445739E-3,-1.527161949E-4,1.391310735E-3
3.720727210E-1,-1.069013379E-3,3.817904973E-3,-1.374445739E-3,4.196223192E-3
3.742278250E-1,-1.069013379E-3,5.039634649E-3,1.069013379E-3,5.261510867E-3
3.763829290E-1,1.527161949E-4,1.374445739E-3,-1.527161949E-4,1.391310735E-3
3.785380330E-1,-3.512472380E-3,-2.290742937E-3,1.069013379E-3,4.327557629E-3
3.806931370E-1,-1.069013379E-3,2.596175298E-3,-1.527161949E-4,2.811803339E-3
3.828482420E-1,-1.069013379E-3,-2.290742937E-3,1.069013379E-3,2.744646136E-3
3.850033460E-1,-2.290742937E-3,-2.290742937E-3,1.069013379E-3,3.411421407E-3
3.871584500E-1,1.527161949E-4,1.374445739E-3,-1.527161949E-4,1.391310735E-3
3.893135540E-1,1.527161949E-4,1.527161949E-4,1.069013379E-3,1.090611790E-3
3.914686580E-1,2.596175298E-3,2.596175298E-3,1.069013379E-3,3.824008625E-3
3.936237620E-1,1.527161949E-4,1.374445739E-3,-1.374445739E-3,1.949749834E-3
3.957788670E-1,1.374445739E-3,2.596175298E-3,-1.527161949E-4,2.941521631E-3
3.979339710E-1,1.374445739E-3,2.596175298E-3,-1.527161949E-4,2.941521631E-3
4.000890750E-1,3.817904973E-3,3.817904973E-3,-1.527161949E-4,5.401492295E-3
4.022442310E-1,3.817904973E-3,6.261364091E-3,-1.527161949E-4,7.335148322E-3
4.043992830E-1,-1.069013379E-3,-2.290742937E-3,-1.527161949E-4,2.532511608E-3
4.065543870E-1,2.596175298E-3,5.039634649E-3,1.069013379E-3,5.768954253E-3
4.087095440E-1,-1.069013379E-3,2.596175298E-3,-1.527161949E-4,2.811803339E-3
4.108646480E-1,-1.069013379E-3,-2.290742937E-3,1.069013379E-3,2.744646136E-3
4.130197520E-1,-1.069013379E-3,3.817904973E-3,1.069013379E-3,4.106333838E-3
4.151748040E-1,-2.290742937E-3,1.374445739E-3,-1.527161949E-4,2.675803904E-3
4.173299600E-1,-1.069013379E-3,1.374445739E-3,-1.527161949E-4,1.747916740E-3
4.194850650E-1,-2.290742937E-3,1.374445739E-3,-1.527161949E-4,2.675803904E-3
4.216401690E-1,1.527161949E-4,1.374445739E-3,-1.527161949E-4,1.391310735E-3
4.237952730E-1,-1.069013379E-3,1.527161949E-4,-1.527161949E-4,1.090611790E-3
4.259503770E-1,-2.290742937E-3,1.527161949E-4,-1.527161949E-4,2.300901492E-3
4.281054810E-1,1.527161949E-4,2.596175298E-3,-1.527161949E-4,2.605143115E-3
4.302605850E-1,1.527161949E-4,3.817904973E-3,-1.527161949E-4,3.824008742E-3
4.324156900E-1,1.527161949E-4,3.817904973E-3,-1.527161949E-4,3.824008742E-3
4.345707940E-1,1.374445739E-3,1.527161949E-4,1.069013379E-3,1.747916740E-3
4.367258980E-1,1.374445739E-3,2.596175298E-3,-1.527161949E-4,2.941521631E-3
4.388810020E-1,2.596175298E-3,5.039634649E-3,1.069013379E-3,5.768954253E-3
4.410361580E-1,1.527161949E-4,2.596175298E-3,1.069013379E-3,2.811803339E-3
4.431912620E-1,-2.290742937E-3,-1.069013379E-3,-1.527161949E-4,2.532511608E-3
4.453463670E-1,-1.069013379E-3,1.527161949E-4,-1.527161949E-4,1.090611790E-3
4.475014710E-1,-3.512472380E-3,1.374445739E-3,-1.527161949E-4,3.774902058E-3
4.496565230E-1,-2.290742937E-3,-1.069013379E-3,1.069013379E-3,2.744646136E-3
4.518116790E-1,-2.290742937E-3,3.817904973E-3,-1.374445739E-3,4.659721309E-3
4.539667830E-1,-1.069013379E-3,1.374445739E-3,-1.527161949E-4,1.747916740E-3
4.561218870E-1,1.374445739E-3,2.596175298E-3,1.069013379E-3,3.126022532E-3
4.582769920E-1,-1.069013379E-3,3.817904973E-3,-1.527161949E-4,3.967683232E-3
4.604320960E-1,1.374445739E-3,3.817904973E-3,-1.527161949E-4,4.060643017E-3
4.625872000E-1,1.527161949E-4,1.527161949E-4,-1.527161949E-4,2.645122086E-4
4.647423040E-1,1.527161949E-4,1.374445739E-3,1.069013379E-3,1.747916740E-3
4.668974080E-1,2.596175298E-3,3.817904973E-3,-1.527161949E-4,4.619507203E-3
4.690525120E-1,1.374445739E-3,3.817904973E-3,1.069013379E-3,4.196223192E-3
4.712076170E-1,1.527161949E-4,1.527161949E-4,-1.527161949E-4,2.645122086E-4
4.733627210E-1,-1.069013379E-3,1.527161949E-4,-1.527161949E-4,1.090611790E-3
4.755178250E-1,1.527161949E-4,-4.734201822E-3,-1.527161949E-4,4.739125591E-3
4.776729290E-1,1.374445739E-3,3.817904973E-3,-1.374445739E-3,4.284226951E-3
4.798280330E-1,1.374445739E-3,-1.069013379E-3,-1.527161949E-4,1.747916740E-3
4.819831370E-1,1.527161949E-4,3.817904973E-3,1.069013379E-3,3.967683232E-3
4.841382940E-1,1.374445739E-3,5.039634649E-3,-1.527161949E-4,5.225929651E-3
4.862933980E-1,-1.069013379E-3,1.374445739E-3,-1.527161949E-4,1.747916740E-3
4.884485020E-1,1.527161949E-4,2.596175298E-3,-1.374445739E-3,2.941521631E-3
4.906036060E-1,1.527161949E-4,7.483093534E-3,-1.374445739E-3,7.609803687E-3
4.927587100E-1,-1.069013379E-3,1.374445739E-3,-1.527161949E-4,1.747916740E-3
4.949138150E-1,-2.290742937E-3,2.596175298E-3,1.069013379E-3,3.623592001E-3
4.970689190E-1,1.527161949E-4,-1.069013379E-3,1.069013379E-3,1.519506974E-3
4.992240230E-1,-1.069013379E-3,1.527161949E-4,-1.527161949E-4,1.090611790E-3
5.013791270E-1,1.527161949E-4,-3.512472380E-3,1.069013379E-3,3.674720950E-3
5.035342310E-1,1.527161949E-4,1.374445739E-3,-1.527161949E-4,1.391310735E-3
5.056893350E-1,1.374445739E-3,-1.069013379E-3,-1.527161949E-4,1.747916740E-3
5.078444400E-1,1.527161949E-4,-4.734201822E-3,-1.527161949E-4,4.739125591E-3
5.099995440E-1,2.596175298E-3,1.374445739E-3,-1.527161949E-4,2.941521631E-3
5.121547000E-1,-1.069013379E-3,1.527161949E-4,-1.374445739E-3,1.747916740E-3
5.143098040E-1,-1.069013379E-3,-1.069013379E-3,-1.527161949E-4,1.519506974E-3
5.164649080E-1,1.374445739E-3,2.596175298E-3,1.069013379E-3,3.126022532E-3
5.186200120E-1,-1.069013379E-3,1.374445739E-3,-1.527161949E-4,1.747916740E-3
5.207751170E-1,-1.069013379E-3,1.374445739E-3,-1.527161949E-4,1.747916740E-3
5.229302210E-1,-1.069013379E-3,-2.290742937E-3,-1.374445739E-3,2.877393595E-3
5.250852730E-1,1.527161949E-4,1.527161949E-4,-1.527161949E-4,2.645122086E-4
5.272404290E-1,-1.069013379E-3,1.527161949E-4,-1.527161949E-4,1.090611790E-3
5.293955330E-1,-2.290742937E-3,1.527161949E-4,-1.527161949E-4,2.300901492E-3
5.315506370E-1,-2.290742937E-3,1.374445739E-3,-1.527161949E-4,2.675803904E-3
5.337057420E-1,1.527161949E-4,-1.069013379E-3,-1.527161949E-4,1.090611790E-3
5.358608460E-1,-1.069013379E-3,1.527161949E-4,-1.527161949E-4,1.090611790E-3
5.380159500E-1,-1.069013379E-3,1.527161949E-4,1.069013379E-3,1.519506974E-3
5.401710540E-1,-1.069013379E-3,-3.512472380E-3,-1.527161949E-4,3.674720950E-3
5.423261580E-1,1.527161949E-4,1.374445739E-3,-1.527161949E-4,1.391310735E-3
5.444812620E-1,1.527161949E-4,-2.290742937E-3,1.069013379E-3,2.532511608E-3
5.466363670E-1,1.374445739E-3,1.374445739E-3,1.069013379E-3,2.218330855E-3
5.487914710E-1,2.596175298E-3,3.817904973E-3,-1.527161949E-4,4.619507203E-3
5.509465750E-1,1.527161949E-4,5.039634649E-3,1.069013379E-3,5.154030387E-3
5.531016790E-1,2.596175298E-3,1.374445739E-3,1.069013379E-3,3.126022532E-3
5.552567830E-1,1.374445739E-3,-1.069013379E-3,1.069013379E-3,2.043203440E-3
5.574119400E-1,-1.069013379E-3,-1.069013379E-3,-1.527161949E-4,1.519506974E-3
5.595670440E-1,-1.069013379E-3,-1.069013379E-3,1.069013379E-3,1.851585486E-3
5.617221480E-1,-2.290742937E-3,-1.069013379E-3,1.069013379E-3,2.744646136E-3
5.638772520E-1,1.527161949E-4,3.817904973E-3,1.069013379E-3,3.967683232E-3
5.660323560E-1,1.527161949E-4,1.527161949E-4,1.069013379E-3,1.090611790E-3
5.681874600E-1,-2.290742937E-3,1.527161949E-4,-1.374445739E-3,2.675803904E-3
