"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.660690210E-1,1.374445739E-3,-6.108647794E-4,6.108647794E-4,1.623395407E-3
1.682242820E-1,3.817904973E-3,1.832594397E-3,6.108647794E-4,4.278779778E-3
1.703795420E-1,3.817904973E-3,5.497782957E-3,6.108647794E-4,6.721247771E-3
1.725348020E-1,3.817904973E-3,6.719512399E-3,-6.108647794E-4,7.752509339E-3
1.746901150E-1,1.527161949E-4,7.941242307E-3,6.108647794E-4,7.966166418E-3
1.768453750E-1,1.374445739E-3,5.497782957E-3,-6.108647794E-4,5.699813533E-3
1.790006360E-1,-2.290742937E-3,4.276053514E-3,-6.108647794E-4,4.889303902E-3
1.811558960E-1,-2.290742937E-3,-1.832594397E-3,-6.108647794E-4,2.996508169E-3
1.833111570E-1,1.374445739E-3,4.276053514E-3,-6.108647794E-4,4.532867804E-3
1.854664170E-1,-1.069013379E-3,-4.276053514E-3,6.108647794E-4,4.449784157E-3
1.876217300E-1,-3.512472380E-3,-1.038470119E-2,-6.108647794E-4,1.097964648E-2
1.897769900E-1,-4.734201822E-3,-1.160643063E-2,-6.108647794E-4,1.254970337E-2
1.919322500E-1,-1.069013379E-3,-1.038470119E-2,-6.108647794E-4,1.045743583E-2
1.940875110E-1,-2.290742937E-3,-9.162971750E-3,6.108647794E-4,9.464708673E-3
1.962428230E-1,-4.734201822E-3,-7.941242307E-3,6.108647794E-4,9.265481750E-3
1.983980840E-1,-1.069013379E-3,-1.832594397E-3,-6.108647794E-4,2.207792473E-3
2.005533440E-1,1.527161949E-4,7.941242307E-3,-6.108647794E-4,7.966166418E-3
2.027086050E-1,2.596175298E-3,7.941242307E-3,-6.108647794E-4,8.377148163E-3
2.048639170E-1,2.596175298E-3,7.941242307E-3,-1.832594397E-3,8.553470511E-3
2.070191770E-1,7.483093534E-3,1.038470119E-2,-6.108647794E-4,1.281451768E-2
2.091744380E-1,6.261364091E-3,9.162971750E-3,6.108647794E-4,1.111475989E-2
2.113296980E-1,5.039634649E-3,1.038470119E-2,-6.108647794E-4,1.155911294E-2
2.134850110E-1,2.596175298E-3,9.162971750E-3,6.108647794E-4,9.543234947E-3
2.156402710E-1,2.596175298E-3,1.160643063E-2,-6.108647794E-4,1.190892581E-2
2.177955320E-1,1.374445739E-3,9.162971750E-3,-6.108647794E-4,9.285596812E-3
2.199507920E-1,1.527161949E-4,1.832594397E-3,-6.108647794E-4,1.937751335E-3
2.221061050E-1,-2.290742937E-3,-3.054323839E-3,6.108647794E-4,3.866465194E-3
2.242613650E-1,-1.069013379E-3,-1.832594397E-3,6.108647794E-4,2.207792473E-3
2.264166250E-1,-1.069013379E-3,-4.276053514E-3,6.108647794E-4,4.449784157E-3
2.285718860E-1,-1.069013379E-3,-9.162971750E-3,6.108647794E-4,9.245322962E-3
2.307271980E-1,1.374445739E-3,-6.719512399E-3,6.108647794E-4,6.885789988E-3
2.328824590E-1,1.527161949E-4,-3.054323839E-3,-6.108647794E-4,3.118552890E-3
2.350377190E-1,1.374445739E-3,-1.832594397E-3,6.108647794E-4,2.370792925E-3
2.371930320E-1,1.527161949E-4,-3.054323839E-3,6.108647794E-4,3.118552890E-3
2.393482920E-1,-1.069013379E-3,6.108647794E-4,-6.108647794E-4,1.374445765E-3
2.415035520E-1,2.596175298E-3,4.276053514E-3,-6.108647794E-4,5.039634472E-3
2.436588130E-1,1.374445739E-3,9.162971750E-3,-6.108647794E-4,9.285596812E-3
2.458140730E-1,1.527161949E-4,9.162971750E-3,6.108647794E-4,9.184581063E-3
2.479693860E-1,3.817904973E-3,6.719512399E-3,-6.108647794E-4,7.752509339E-3
2.501246460E-1,1.374445739E-3,4.276053514E-3,-1.832594397E-3,4.850993400E-3
2.522799070E-1,1.374445739E-3,3.054323839E-3,-6.108647794E-4,3.404577945E-3
2.544351670E-1,2.596175298E-3,5.497782957E-3,6.108647794E-4,6.110556390E-3
2.565904800E-1,1.374445739E-3,5.497782957E-3,-6.108647794E-4,5.699813533E-3
2.587457400E-1,-1.069013379E-3,6.108647794E-4,-6.108647794E-4,1.374445765E-3
2.609010000E-1,-2.290742937E-3,-1.832594397E-3,-6.108647794E-4,2.996508169E-3
2.630562610E-1,-3.512472380E-3,-3.054323839E-3,-6.108647794E-4,4.694625876E-3
2.652115730E-1,-4.734201822E-3,-1.832594397E-3,-6.108647794E-4,5.113142370E-3
2.673668340E-1,-3.512472380E-3,-3.054323839E-3,-6.108647794E-4,4.694625876E-3
2.695220940E-1,-2.290742937E-3,-1.832594397E-3,-6.108647794E-4,2.996508169E-3
2.716774070E-1,-1.069013379E-3,1.832594397E-3,6.108647794E-4,2.207792473E-3
2.738326670E-1,1.527161949E-4,3.054323839E-3,6.108647794E-4,3.118552890E-3
2.759879270E-1,1.527161949E-4,5.497782957E-3,6.108647794E-4,5.533723471E-3
2.781431880E-1,1.527161949E-4,1.832594397E-3,6.108647794E-4,1.937751335E-3
2.802984480E-1,1.374445739E-3,4.276053514E-3,-6.108647794E-4,4.532867804E-3
2.824537610E-1,2.596175298E-3,9.162971750E-3,-6.108647794E-4,9.543234947E-3
2.846090210E-1,2.596175298E-3,7.941242307E-3,-6.108647794E-4,8.377148163E-3
2.867642820E-1,1.374445739E-3,6.719512399E-3,6.108647794E-4,6.885789988E-3
2.889195420E-1,1.527161949E-4,3.054323839E-3,6.108647794E-4,3.118552890E-3
2.910748020E-1,-1.069013379E-3,6.719512399E-3,-6.108647794E-4,6.831382896E-3
2.932300630E-1,-2.290742937E-3,6.719512399E-3,-6.108647794E-4,7.125482852E-3
2.953853750E-1,-3.512472380E-3,6.108647794E-4,6.108647794E-4,3.617149952E-3
2.975406360E-1,-2.290742937E-3,3.054323839E-3,-1.832594397E-3,4.234949768E-3
2.996958960E-1,-1.069013379E-3,3.054323839E-3,-6.108647794E-4,3.293150391E-3
3.018512090E-1,1.527161949E-4,-6.108647794E-4,-6.108647794E-4,8.772877485E-4
3.040064690E-1,-1.069013379E-3,-6.108647794E-4,6.108647794E-4,1.374445765E-3
3.061617300E-1,1.374445739E-3,4.276053514E-3,6.108647794E-4,4.532867804E-3
3.083169900E-1,1.527161949E-4,1.832594397E-3,-6.108647794E-4,1.937751335E-3
3.104723020E-1,-2.290742937E-3,4.276053514E-3,-6.108647794E-4,4.889303902E-3
3.126275630E-1,-1.069013379E-3,3.054323839E-3,-6.108647794E-4,3.293150391E-3
3.147828230E-1,1.374445739E-3,6.719512399E-3,-6.108647794E-4,6.885789988E-3
3.169380840E-1,2.596175298E-3,9.162971750E-3,-6.108647794E-4,9.543234947E-3
3.190933960E-1,1.374445739E-3,1.038470119E-2,-6.108647794E-4,1.049305845E-2
3.212486570E-1,1.374445739E-3,4.276053514E-3,-6.108647794E-4,4.532867804E-3
3.234039170E-1,1.374445739E-3,9.162971750E-3,6.108647794E-4,9.285596812E-3
3.255591770E-1,1.527161949E-4,6.719512399E-3,-6.108647794E-4,6.748949911E-3
3.277144380E-1,1.374445739E-3,4.276053514E-3,6.108647794E-4,4.532867804E-3
3.298697500E-1,1.527161949E-4,3.054323839E-3,6.108647794E-4,3.118552890E-3
3.320250110E-1,-1.069013379E-3,1.832594397E-3,6.108647794E-4,2.207792473E-3
3.341802710E-1,1.374445739E-3,5.497782957E-3,-6.108647794E-4,5.699813533E-3
3.363355320E-1,1.527161949E-4,3.054323839E-3,6.108647794E-4,3.118552890E-3
3.384908440E-1,-2.290742937E-3,6.108647794E-4,-6.108647794E-4,2.448226861E-3
3.406461050E-1,-2.290742937E-3,-6.108647794E-4,-6.108647794E-4,2.448226861E-3
3.428013650E-1,-2.290742937E-3,1.832594397E-3,-6.108647794E-4,2.996508169E-3
3.449566770E-1,1.527161949E-4,1.832594397E-3,-1.832594397E-3,2.596175395E-3
3.471119380E-1,1.374445739E-3,4.276053514E-3,-6.108647794E-4,4.532867804E-3
3.492671980E-1,1.527161949E-4,1.832594397E-3,6.108647794E-4,1.937751335E-3
3.514224590E-1,2.596175298E-3,5.497782957E-3,-6.108647794E-4,6.110556390E-3
3.535777190E-1,1.374445739E-3,5.497782957E-3,6.108647794E-4,5.699813533E-3
3.557330320E-1,1.374445739E-3,7.941242307E-3,-6.108647794E-4,8.082424528E-3
3.578882920E-1,1.527161949E-4,7.941242307E-3,-1.832594397E-3,8.151383554E-3
3.600435520E-1,1.374445739E-3,1.038470119E-2,-1.832594397E-3,1.063435575E-2
3.621988130E-1,-1.069013379E-3,9.162971750E-3,-6.108647794E-4,9.245322962E-3
3.643541250E-1,1.527161949E-4,5.497782957E-3,-6.108647794E-4,5.533723471E-3
3.665093860E-1,-1.069013379E-3,7.941242307E-3,-6.108647794E-4,8.036123118E-3
3.686646460E-1,-1.069013379E-3,5.497782957E-3,-6.108647794E-4,5.633965107E-3
3.708199070E-1,-3.512472380E-3,5.497782957E-3,1.832594397E-3,6.776539078E-3
3.729752190E-1,1.527161949E-4,6.719512399E-3,6.108647794E-4,6.748949911E-3
3.751304800E-1,1.527161949E-4,3.054323839E-3,6.108647794E-4,3.118552890E-3
3.772857400E-1,-1.069013379E-3,1.832594397E-3,6.108647794E-4,2.207792473E-3
3.794410000E-1,1.527161949E-4,3.054323839E-3,6.108647794E-4,3.118552890E-3
3.815962610E-1,1.527161949E-4,6.719512399E-3,6.108647794E-4,6.748949911E-3
3.837515730E-1,1.527161949E-4,6.719512399E-3,6.108647794E-4,6.748949911E-3
3.859068340E-1,1.374445739E-3,7.941242307E-3,-1.832594397E-3,8.265036763E-3
3.880620940E-1,2.596175298E-3,9.162971750E-3,6.108647794E-4,9.543234947E-3
3.902173550E-1,2.596175298E-3,1.404988952E-2,-6.108647794E-4,1.430079290E-2
3.923726670E-1,1.527161949E-4,1.038470119E-2,-6.108647794E-4,1.040377320E-2
3.945279270E-1,1.374445739E-3,9.162971750E-3,-6.108647794E-4,9.285596812E-3
3.966831880E-1,1.374445739E-3,7.941242307E-3,6.108647794E-4,8.082424528E-3
3.988384480E-1,1.374445739E-3,9.162971750E-3,-6.108647794E-4,9.285596812E-3
4.009937610E-1,1.374445739E-3,5.497782957E-3,6.108647794E-4,5.699813533E-3
4.031490210E-1,1.527161949E-4,5.497782957E-3,-6.108647794E-4,5.533723471E-3
4.053042820E-1,-2.290742937E-3,4.276053514E-3,6.108647794E-4,4.889303902E-3
4.074595420E-1,-2.290742937E-3,5.497782957E-3,-6.108647794E-4,5.987175997E-3
4.096148550E-1,-3.512472380E-3,5.497782957E-3,-6.108647794E-4,6.552574718E-3
4.117701150E-1,-4.734201822E-3,-6.108647794E-4,-6.108647794E-4,4.812377630E-3
4.139253750E-1,-2.290742937E-3,-6.108647794E-4,6.108647794E-4,2.448226861E-3
4.160806360E-1,-1.069013379E-3,4.276053514E-3,6.108647794E-4,4.449784157E-3
4.182358960E-1,-1.069013379E-3,-6.108647794E-4,-6.108647794E-4,1.374445765E-3
4.203912090E-1,2.596175298E-3,7.941242307E-3,-6.108647794E-4,8.377148163E-3
4.225464690E-1,1.527161949E-4,6.108647794E-4,-6.108647794E-4,8.772877485E-4
4.247017300E-1,1.527161949E-4,4.276053514E-3,6.108647794E-4,4.322165160E-3
4.268569900E-1,1.527161949E-4,5.497782957E-3,6.108647794E-4,5.533723471E-3
4.290123020E-1,2.596175298E-3,1.282816008E-2,-1.832594397E-3,1.321590781E-2
4.311675630E-1,1.527161949E-4,1.038470119E-2,-6.108647794E-4,1.040377320E-2
4.333228230E-1,-1.069013379E-3,6.719512399E-3,1.832594397E-3,7.046491234E-3
4.354780840E-1,-1.069013379E-3,4.276053514E-3,-1.832594397E-3,4.773450061E-3
4.376333960E-1,1.527161949E-4,5.497782957E-3,6.108647794E-4,5.533723471E-3
4.397886570E-1,-1.069013379E-3,3.054323839E-3,-6.108647794E-4,3.293150391E-3
4.419439170E-1,-3.512472380E-3,6.108647794E-4,-6.108647794E-4,3.617149952E-3
4.440991770E-1,1.527161949E-4,3.054323839E-3,-6.108647794E-4,3.118552890E-3
4.462544900E-1,-1.069013379E-3,5.497782957E-3,-6.108647794E-4,5.633965107E-3
4.484097500E-1,1.527161949E-4,4.276053514E-3,-6.108647794E-4,4.322165160E-3
4.505650110E-1,-1.069013379E-3,1.832594397E-3,-6.108647794E-4,2.207792473E-3
4.527202710E-1,-1.069013379E-3,6.108647794E-4,-6.108647794E-4,1.374445765E-3
4.548755320E-1,1.527161949E-4,4.276053514E-3,6.108647794E-4,4.322165160E-3
4.570308440E-1,-1.069013379E-3,1.832594397E-3,6.108647794E-4,2.207792473E-3
4.591861050E-1,1.527161949E-4,6.719512399E-3,-6.108647794E-4,6.748949911E-3
4.613413650E-1,-1.069013379E-3,5.497782957E-3,-6.108647794E-4,5.633965107E-3
4.634966250E-1,2.596175298E-3,5.497782957E-3,-6.108647794E-4,6.110556390E-3
4.656519380E-1,1.374445739E-3,9.162971750E-3,1.832594397E-3,9.444975098E-3
4.678071980E-1,3.817904973E-3,1.038470119E-2,1.832594397E-3,1.121502650E-2
4.699624590E-1,2.596175298E-3,9.162971750E-3,-6.108647794E-4,9.543234947E-3
4.721177190E-1,2.596175298E-3,9.162971750E-3,6.108647794E-4,9.543234947E-3
4.742730320E-1,-1.069013379E-3,7.941242307E-3,-6.108647794E-4,8.036123118E-3
4.764282920E-1,-2.290742937E-3,4.276053514E-3,-6.108647794E-4,4.889303902E-3
4.785835520E-1,-1.069013379E-3,9.162971750E-3,-6.108647794E-4,9.245322962E-3
